177.37.98.113	BR	AS262418 Indagraf Ltda
187.16.96.250	BR	AS17222 MUNDIVOX DO BRASIL LTDA
94.249.151.147	IN	AS134465 M/S HARVIL MEDIA
47.76.151.8	HK	AS45102 Alibaba (US) Technology Co., Ltd.
173.249.10.189	DE	AS51167 Contabo GmbH
5.189.176.254	DE	AS51167 Contabo GmbH
27.112.78.170	ID	AS136052 PT Cloud Hosting Indonesia
109.206.241.199	EE	AS41745 Baykov Ilya Sergeevich
104.137.253.164	US	AS33363 Charter Communications, Inc
107.175.48.8	US	AS36352 HostPapa
173.249.15.214	DE	AS51167 Contabo GmbH
134.209.162.179	US	AS14061 DigitalOcean, LLC
45.204.212.123	HK	AS62468 VpsQuan L.L.C.
128.199.183.223	SG	AS14061 DigitalOcean, LLC
157.10.160.102	ID	AS136052 PT Cloud Hosting Indonesia
95.39.201.205	ES	AS6739 VODAFONE ONO, S.A.
190.111.211.81	AR	AS11014 CPS
129.154.42.120	IN	AS31898 Oracle Corporation
14.63.198.239	KR	AS4766 Korea Telecom
45.135.232.248	RU	AS198953 Proton66 OOO
103.48.84.20	VN	AS131423 Branch of Long Van System Solution JSC - Hanoi
45.245.61.114	EG	AS24863 Link Egypt (Link.NET)
103.147.211.2	ID	AS150544 PT Global Visi Vindici
27.71.230.3	VN	AS38731 Vietel - CHT Compamy Ltd
187.142.234.192	MX	AS8151 UNINET
14.103.117.173	CN	AS4811 China Telecom (Group)
152.32.190.168	HK	AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
178.62.53.116	GB	AS14061 DigitalOcean, LLC
187.212.39.221	MX	AS8151 UNINET
210.90.155.178	KR	AS4766 Korea Telecom
115.31.151.36	TH	AS38794 UIH
61.76.112.4	KR	AS4766 Korea Telecom
41.111.162.34	DZ	AS36947 Telecom Algeria
138.197.209.102	US	AS14061 DigitalOcean, LLC
46.161.48.157	RU	AS34665 Petersburg Internet Network ltd.
115.190.39.111	CN	AS137718 Beijing Volcano Engine Technology Co., Ltd.
179.33.210.213	CO	AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC
201.186.40.250	CL	AS14117 Telefonica del Sur S.A.
103.139.192.163	ID	AS136052 PT Cloud Hosting Indonesia
45.134.26.79	RU	AS198953 Proton66 OOO
204.76.203.192	NL	AS51396 Pfcloud UG
120.48.42.17	CN	AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd.
217.160.9.183	DE	AS8560 IONOS SE
182.48.68.82	BD	AS58715 EARTH TELECOMMUNICATION (Pvt) LTD.
8.243.64.226	CO	AS3356 Level 3 Parent, LLC
152.32.130.118	HK	AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
78.109.200.147	IR	AS25184 Afranet
102.88.137.80	NG	AS29465 MTN NIGERIA Communication limited
198.12.114.232	US	AS36352 HostPapa
91.240.15.18	UZ	AS58254 Nano Telecom LLC
38.101.199.213	US	AS174 Cogent Communications
164.177.31.66	FR	AS5410 Bouygues Telecom SA
211.253.10.96	KR	AS4766 Korea Telecom
103.218.240.181	HK	AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
155.4.244.169	SE	AS8473 Bahnhof AB
213.6.203.226	PS	AS12975 PALTEL Autonomous System
47.236.20.83	SG	AS45102 Alibaba (US) Technology Co., Ltd.
5.195.226.17	AE	AS5384 Emirates Internet
85.208.253.189	IR	AS61173 Green Web Samaneh Novin PJSC
14.103.145.231	CN	AS4811 China Telecom (Group)
45.170.130.157	PY	AS61512 GIG@NET SOCIEDAD ANONIMA
104.168.56.59	US	AS36352 HostPapa
188.166.169.185	GB	AS14061 DigitalOcean, LLC
95.215.108.8	RU	AS207713 GLOBAL INTERNET SOLUTIONS LLC
58.82.128.4	TH	AS55423 JasTel Network
173.249.51.235	DE	AS51167 Contabo GmbH
14.103.112.228	CN	AS4811 China Telecom (Group)
117.72.153.19	CN	AS141679 China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch
107.173.10.71	US	AS36352 HostPapa
190.129.122.185	BO	AS6568 EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA
125.166.17.104	ID	AS7713 PT Telekomunikasi Indonesia
103.172.204.127	ID	AS136052 PT Cloud Hosting Indonesia
51.68.139.192	PL	AS16276 OVH SAS
45.236.131.173	CL	AS64111 INFORMATICA BLUEHOSTING LIMITADA
102.132.245.209	ZA	AS37680 Cool Ideas Service Provider (Pty) Ltd
165.154.12.20	AE	AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
198.12.123.22	US	AS36352 HostPapa
103.188.177.46	ID	AS149734 PEDEE
102.88.137.145	NG	AS29465 MTN NIGERIA Communication limited
102.211.209.39	TN	AS328853 OXAHOST
43.167.242.239	JP	AS132203 Tencent Building, Kejizhongyi Avenue
210.70.137.246	TW	AS1659 Taiwan Academic Network (TANet) Information Center
